physician_id,physician_experience,question_id,question_uncertainty,question_order,Di,A,oe_used,Df,F,R,ts_Di_lock,ts_oe_start,ts_Df_lock,ts_F_lock,oe_time_seconds
P001,Fellow,Q016,Guideline-Direct,46,A,C,No,,D,A,2026-05-15T14:35:43Z,,,2026-05-15T14:35:58Z,
P001,Fellow,Q027,Evidence-Equipoise,47,B,C,Yes,B,,C,2026-05-15T14:36:49Z,2026-05-15T14:36:49Z,2026-05-15T14:38:10Z,,81
P001,Fellow,Q038,Extrapolation-Required,48,B,D,No,,B,D,2026-05-15T14:38:50Z,,,2026-05-15T14:39:10Z,
P001,Fellow,Q021,Evidence-Equipoise,49,E,B,Yes,E,,B,2026-05-15T14:39:44Z,2026-05-15T14:39:44Z,2026-05-15T14:41:03Z,,79
P001,Fellow,Q020,Evidence-Equipoise,50,A,E,Yes,C,,C,2026-05-15T14:41:32Z,2026-05-15T14:41:32Z,2026-05-15T14:42:14Z,,42
P002,Fellow,Q011,Guideline-Direct,1,D,B,Yes,B,,B,2026-05-15T16:00:39Z,2026-05-15T16:00:39Z,2026-05-15T16:01:25Z,,46
P002,Fellow,Q024,Evidence-Equipoise,2,D,A,No,,D,D,2026-05-15T16:02:19Z,,,2026-05-15T16:02:31Z,
P002,Fellow,Q021,Evidence-Equipoise,3,C,E,No,,C,B,2026-05-15T16:03:23Z,,,2026-05-15T16:03:28Z,
P002,Fellow,Q009,Guideline-Direct,4,E,A,Yes,E,,A,2026-05-15T16:04:09Z,2026-05-15T16:04:09Z,2026-05-15T16:05:51Z,,102
P002,Fellow,Q018,Evidence-Equipoise,5,D,D,Yes,D,,D,2026-05-15T16:06:32Z,2026-05-15T16:06:32Z,2026-05-15T16:08:04Z,,92
P002,Fellow,Q039,Extrapolation-Required,6,B,B,Yes,B,,B,2026-05-15T16:08:47Z,2026-05-15T16:08:47Z,2026-05-15T16:09:30Z,,43
P002,Fellow,Q050,Extrapolation-Required,7,D,A,No,,D,A,2026-05-15T16:09:52Z,,,2026-05-15T16:10:11Z,
P002,Fellow,Q045,Extrapolation-Required,8,E,E,Yes,E,,E,2026-05-15T16:10:49Z,2026-05-15T16:10:49Z,2026-05-15T16:12:26Z,,97
P002,Fellow,Q022,Evidence-Equipoise,9,A,E,Yes,A,,A,2026-05-15T16:13:14Z,2026-05-15T16:13:14Z,2026-05-15T16:14:20Z,,66
P002,Fellow,Q017,Guideline-Direct,10,D,D,No,,D,D,2026-05-15T16:15:13Z,,,2026-05-15T16:15:35Z,
P002,Fellow,Q003,Guideline-Direct,11,B,B,No,,B,B,2026-05-15T16:16:32Z,,,2026-05-15T16:16:52Z,
P002,Fellow,Q013,Guideline-Direct,12,C,A,No,,C,C,2026-05-15T16:17:31Z,,,2026-05-15T16:17:36Z,
P002,Fellow,Q033,Evidence-Equipoise,13,D,A,Yes,A,,A,2026-05-15T16:18:10Z,2026-05-15T16:18:10Z,2026-05-15T16:19:18Z,,68
P002,Fellow,Q041,Extrapolation-Required,14,C,E,Yes,C,,E,2026-05-15T16:20:05Z,2026-05-15T16:20:05Z,2026-05-15T16:21:38Z,,93
P002,Fellow,Q005,Guideline-Direct,15,C,C,Yes,D,,C,2026-05-15T16:22:01Z,2026-05-15T16:22:01Z,2026-05-15T16:23:09Z,,68
P002,Fellow,Q002,Guideline-Direct,16,E,A,No,,E,B,2026-05-15T16:23:40Z,,,2026-05-15T16:23:45Z,
P002,Fellow,Q008,Guideline-Direct,17,C,B,No,,C,E,2026-05-15T16:24:15Z,,,2026-05-15T16:24:21Z,
P002,Fellow,Q007,Guideline-Direct,18,E,E,Yes,E,,E,2026-05-15T16:25:02Z,2026-05-15T16:25:02Z,2026-05-15T16:27:49Z,,167
P002,Fellow,Q036,Extrapolation-Required,19,C,D,Yes,C,,D,2026-05-15T16:28:24Z,2026-05-15T16:28:24Z,2026-05-15T16:30:12Z,,108
P002,Fellow,Q046,Extrapolation-Required,20,B,B,Yes,B,,B,2026-05-15T16:30:33Z,2026-05-15T16:30:33Z,2026-05-15T16:34:09Z,,216
P002,Fellow,Q026,Evidence-Equipoise,21,C,C,Yes,C,,C,2026-05-15T16:34:51Z,2026-05-15T16:34:51Z,2026-05-15T16:36:10Z,,79
P002,Fellow,Q020,Evidence-Equipoise,22,C,C,Yes,C,,C,2026-05-15T16:36:39Z,2026-05-15T16:36:39Z,2026-05-15T16:37:54Z,,75
P002,Fellow,Q025,Evidence-Equipoise,23,B,C,Yes,B,,C,2026-05-15T16:38:27Z,2026-05-15T16:38:27Z,2026-05-15T16:39:00Z,,33
P002,Fellow,Q004,Guideline-Direct,24,B,B,Yes,B,,B,2026-05-15T16:39:41Z,2026-05-15T16:39:41Z,2026-05-15T16:40:57Z,,76
P002,Fellow,Q001,Guideline-Direct,25,C,C,No,,D,C,2026-05-15T16:41:35Z,,,2026-05-15T16:41:45Z,
P002,Fellow,Q043,Extrapolation-Required,26,E,E,Yes,C,,E,2026-05-15T16:42:14Z,2026-05-15T16:42:14Z,2026-05-15T16:44:09Z,,115
P002,Fellow,Q016,Guideline-Direct,27,D,A,No,,D,A,2026-05-15T16:44:40Z,,,2026-05-15T16:45:02Z,
P002,Fellow,Q048,Extrapolation-Required,28,E,E,Yes,E,,E,2026-05-15T16:45:33Z,2026-05-15T16:45:33Z,2026-05-15T16:46:39Z,,66
P002,Fellow,Q035,Extrapolation-Required,29,B,A,No,,B,A,2026-05-15T16:47:18Z,,,2026-05-15T16:47:32Z,
P002,Fellow,Q012,Guideline-Direct,30,D,D,No,,D,D,2026-05-15T16:47:53Z,,,2026-05-15T16:48:00Z,
P002,Fellow,Q023,Evidence-Equipoise,31,C,C,Yes,C,,C,2026-05-15T16:48:38Z,2026-05-15T16:48:38Z,2026-05-15T16:49:24Z,,46
P002,Fellow,Q031,Evidence-Equipoise,32,C,A,Yes,C,,E,2026-05-15T16:50:07Z,2026-05-15T16:50:07Z,2026-05-15T16:50:46Z,,39
P002,Fellow,Q037,Extrapolation-Required,33,D,D,No,,D,A,2026-05-15T16:51:32Z,,,2026-05-15T16:51:38Z,
P002,Fellow,Q010,Guideline-Direct,34,B,C,No,,B,C,2026-05-15T16:52:20Z,,,2026-05-15T16:52:28Z,
P002,Fellow,Q030,Evidence-Equipoise,35,B,D,Yes,D,,D,2026-05-15T16:53:19Z,2026-05-15T16:53:19Z,2026-05-15T16:54:28Z,,69
P002,Fellow,Q049,Extrapolation-Required,36,C,D,Yes,C,,C,2026-05-15T16:54:57Z,2026-05-15T16:54:57Z,2026-05-15T16:56:45Z,,108
P002,Fellow,Q047,Extrapolation-Required,37,D,D,No,,E,D,2026-05-15T16:57:25Z,,,2026-05-15T16:57:43Z,
P002,Fellow,Q029,Evidence-Equipoise,38,B,C,Yes,B,,B,2026-05-15T16:58:23Z,2026-05-15T16:58:23Z,2026-05-15T16:59:38Z,,75
P002,Fellow,Q038,Extrapolation-Required,39,A,D,Yes,D,,D,2026-05-15T17:00:22Z,2026-05-15T17:00:22Z,2026-05-15T17:02:18Z,,116
P002,Fellow,Q006,Guideline-Direct,40,D,D,Yes,B,,D,2026-05-15T17:03:09Z,2026-05-15T17:03:09Z,2026-05-15T17:04:35Z,,86
P002,Fellow,Q044,Extrapolation-Required,41,B,D,Yes,D,,D,2026-05-15T17:05:06Z,2026-05-15T17:05:06Z,2026-05-15T17:07:04Z,,118
P002,Fellow,Q027,Evidence-Equipoise,42,C,C,Yes,C,,C,2026-05-15T17:07:47Z,2026-05-15T17:07:47Z,2026-05-15T17:11:18Z,,211
P002,Fellow,Q040,Extrapolation-Required,43,A,C,Yes,A,,C,2026-05-15T17:11:49Z,2026-05-15T17:11:49Z,2026-05-15T17:12:27Z,,38
P002,Fellow,Q019,Evidence-Equipoise,44,C,B,No,,C,B,2026-05-15T17:13:01Z,,,2026-05-15T17:13:26Z,
P002,Fellow,Q034,Evidence-Equipoise,45,C,C,No,,C,C,2026-05-15T17:14:12Z,,,2026-05-15T17:14:32Z,
P002,Fellow,Q014,Guideline-Direct,46,C,C,No,,C,C,2026-05-15T17:15:05Z,,,2026-05-15T17:15:11Z,
P002,Fellow,Q028,Evidence-Equipoise,47,D,A,No,,C,E,2026-05-15T17:15:46Z,,,2026-05-15T17:16:04Z,
P002,Fellow,Q042,Extrapolation-Required,48,A,B,Yes,A,,A,2026-05-15T17:16:47Z,2026-05-15T17:16:47Z,2026-05-15T17:19:25Z,,158
P002,Fellow,Q032,Evidence-Equipoise,49,E,E,Yes,E,,E,2026-05-15T17:19:52Z,2026-05-15T17:19:52Z,2026-05-15T17:21:00Z,,68
P002,Fellow,Q015,Guideline-Direct,50,C,C,No,,C,C,2026-05-15T17:21:39Z,,,2026-05-15T17:21:53Z,
P003,Fellow,Q011,Guideline-Direct,1,D,C,Yes,B,,B,2026-05-15T19:00:39Z,2026-05-15T19:00:39Z,2026-05-15T19:01:51Z,,72
P003,Fellow,Q024,Evidence-Equipoise,2,D,D,Yes,D,,D,2026-05-15T19:02:21Z,2026-05-15T19:02:21Z,2026-05-15T19:04:11Z,,110
P003,Fellow,Q010,Guideline-Direct,3,C,C,No,,C,C,2026-05-15T19:04:48Z,,,2026-05-15T19:05:09Z,
P003,Fellow,Q037,Extrapolation-Required,4,A,A,Yes,A,,A,2026-05-15T19:05:54Z,2026-05-15T19:05:54Z,2026-05-15T19:06:40Z,,46
P003,Fellow,Q021,Evidence-Equipoise,5,E,B,Yes,B,,B,2026-05-15T19:07:11Z,2026-05-15T19:07:11Z,2026-05-15T19:08:13Z,,62
P003,Fellow,Q018,Evidence-Equipoise,6,E,D,No,,E,D,2026-05-15T19:08:49Z,,,2026-05-15T19:09:11Z,
P003,Fellow,Q039,Extrapolation-Required,7,B,A,Yes,B,,B,2026-05-15T19:09:46Z,2026-05-15T19:09:46Z,2026-05-15T19:10:28Z,,42
P003,Fellow,Q040,Extrapolation-Required,8,C,C,Yes,C,,C,2026-05-15T19:11:12Z,2026-05-15T19:11:12Z,2026-05-15T19:12:31Z,,79
P003,Fellow,Q049,Extrapolation-Required,9,C,E,Yes,C,,C,2026-05-15T19:13:04Z,2026-05-15T19:13:04Z,2026-05-15T19:13:55Z,,51
P003,Fellow,Q038,Extrapolation-Required,10,D,D,Yes,D,,D,2026-05-15T19:14:30Z,2026-05-15T19:14:30Z,2026-05-15T19:15:13Z,,43
P003,Fellow,Q014,Guideline-Direct,11,D,C,Yes,D,,C,2026-05-15T19:15:53Z,2026-05-15T19:15:53Z,2026-05-15T19:17:37Z,,104
P003,Fellow,Q045,Extrapolation-Required,12,E,B,Yes,E,,E,2026-05-15T19:18:13Z,2026-05-15T19:18:13Z,2026-05-15T19:19:43Z,,90
P003,Fellow,Q001,Guideline-Direct,13,A,C,Yes,C,,C,2026-05-15T19:20:09Z,2026-05-15T19:20:09Z,2026-05-15T19:21:13Z,,64
P003,Fellow,Q050,Extrapolation-Required,14,D,E,No,,D,A,2026-05-15T19:21:46Z,,,2026-05-15T19:21:56Z,
P003,Fellow,Q017,Guideline-Direct,15,D,D,No,,D,D,2026-05-15T19:22:41Z,,,2026-05-15T19:22:49Z,
P003,Fellow,Q026,Evidence-Equipoise,16,C,C,Yes,C,,C,2026-05-15T19:23:13Z,2026-05-15T19:23:13Z,2026-05-15T19:24:31Z,,78
P003,Fellow,Q035,Extrapolation-Required,17,A,B,No,,A,A,2026-05-15T19:24:56Z,,,2026-05-15T19:25:09Z,
P003,Fellow,Q043,Extrapolation-Required,18,A,B,Yes,E,,E,2026-05-15T19:25:44Z,2026-05-15T19:25:44Z,2026-05-15T19:27:56Z,,132
P003,Fellow,Q042,Extrapolation-Required,19,A,A,Yes,A,,A,2026-05-15T19:28:35Z,2026-05-15T19:28:35Z,2026-05-15T19:30:04Z,,89
P003,Fellow,Q029,Evidence-Equipoise,20,E,B,No,,E,B,2026-05-15T19:30:36Z,,,2026-05-15T19:30:47Z,
P003,Fellow,Q004,Guideline-Direct,21,A,C,Yes,A,,B,2026-05-15T19:31:39Z,2026-05-15T19:31:39Z,2026-05-15T19:32:39Z,,60
P003,Fellow,Q032,Evidence-Equipoise,22,E,E,No,,E,E,2026-05-15T19:33:29Z,,,2026-05-15T19:33:41Z,
P003,Fellow,Q036,Extrapolation-Required,23,D,D,No,,D,D,2026-05-15T19:34:20Z,,,2026-05-15T19:34:36Z,
P003,Fellow,Q034,Evidence-Equipoise,24,D,C,Yes,D,,C,2026-05-15T19:35:21Z,2026-05-15T19:35:21Z,2026-05-15T19:37:07Z,,106
P003,Fellow,Q012,Guideline-Direct,25,D,C,No,,E,D,2026-05-15T19:37:43Z,,,2026-05-15T19:37:58Z,
P003,Fellow,Q044,Extrapolation-Required,26,D,D,Yes,D,,D,2026-05-15T19:38:42Z,2026-05-15T19:38:42Z,2026-05-15T19:39:28Z,,46
P003,Fellow,Q027,Evidence-Equipoise,27,C,C,Yes,C,,C,2026-05-15T19:40:01Z,2026-05-15T19:40:01Z,2026-05-15T19:40:32Z,,31
P003,Fellow,Q031,Evidence-Equipoise,28,E,C,Yes,B,,E,2026-05-15T19:41:06Z,2026-05-15T19:41:06Z,2026-05-15T19:42:56Z,,110
P003,Fellow,Q048,Extrapolation-Required,29,E,B,Yes,E,,E,2026-05-15T19:43:35Z,2026-05-15T19:43:35Z,2026-05-15T19:45:09Z,,94
P003,Fellow,Q008,Guideline-Direct,30,B,E,Yes,E,,E,2026-05-15T19:45:32Z,2026-05-15T19:45:32Z,2026-05-15T19:46:37Z,,65
P003,Fellow,Q016,Guideline-Direct,31,C,A,Yes,C,,A,2026-05-15T19:47:07Z,2026-05-15T19:47:07Z,2026-05-15T19:48:27Z,,80
P003,Fellow,Q041,Extrapolation-Required,32,E,E,Yes,E,,E,2026-05-15T19:49:04Z,2026-05-15T19:49:04Z,2026-05-15T19:53:30Z,,266
P003,Fellow,Q023,Evidence-Equipoise,33,C,E,Yes,C,,C,2026-05-15T19:54:13Z,2026-05-15T19:54:13Z,2026-05-15T19:55:28Z,,75
P003,Fellow,Q028,Evidence-Equipoise,34,E,E,Yes,E,,E,2026-05-15T19:55:54Z,2026-05-15T19:55:54Z,2026-05-15T19:56:37Z,,43
P003,Fellow,Q007,Guideline-Direct,35,E,C,Yes,E,,E,2026-05-15T19:57:10Z,2026-05-15T19:57:10Z,2026-05-15T19:58:53Z,,103
P003,Fellow,Q009,Guideline-Direct,36,A,A,Yes,A,,A,2026-05-15T19:59:26Z,2026-05-15T19:59:26Z,2026-05-15T19:59:53Z,,27
P003,Fellow,Q005,Guideline-Direct,37,A,C,No,,A,C,2026-05-15T20:00:37Z,,,2026-05-15T20:00:45Z,
P003,Fellow,Q046,Extrapolation-Required,38,A,B,Yes,B,,B,2026-05-15T20:01:11Z,2026-05-15T20:01:11Z,2026-05-15T20:01:57Z,,46
P003,Fellow,Q003,Guideline-Direct,39,E,E,No,,E,B,2026-05-15T20:02:24Z,,,2026-05-15T20:02:48Z,
P003,Fellow,Q030,Evidence-Equipoise,40,B,A,Yes,D,,D,2026-05-15T20:03:28Z,2026-05-15T20:03:28Z,2026-05-15T20:07:30Z,,242
P003,Fellow,Q002,Guideline-Direct,41,C,B,Yes,B,,B,2026-05-15T20:08:11Z,2026-05-15T20:08:11Z,2026-05-15T20:10:15Z,,124
P003,Fellow,Q047,Extrapolation-Required,42,D,C,Yes,A,,D,2026-05-15T20:10:53Z,2026-05-15T20:10:53Z,2026-05-15T20:11:57Z,,64
P003,Fellow,Q006,Guideline-Direct,43,D,A,Yes,D,,D,2026-05-15T20:12:49Z,2026-05-15T20:12:49Z,2026-05-15T20:14:35Z,,106
P003,Fellow,Q025,Evidence-Equipoise,44,E,C,Yes,C,,C,2026-05-15T20:15:03Z,2026-05-15T20:15:03Z,2026-05-15T20:16:44Z,,101
P003,Fellow,Q033,Evidence-Equipoise,45,A,A,Yes,C,,A,2026-05-15T20:17:22Z,2026-05-15T20:17:22Z,2026-05-15T20:18:06Z,,44
P003,Fellow,Q020,Evidence-Equipoise,46,C,C,No,,C,C,2026-05-15T20:18:40Z,,,2026-05-15T20:19:04Z,
P003,Fellow,Q019,Evidence-Equipoise,47,B,B,Yes,B,,B,2026-05-15T20:19:39Z,2026-05-15T20:19:39Z,2026-05-15T20:21:42Z,,123
P003,Fellow,Q022,Evidence-Equipoise,48,A,A,Yes,A,,A,2026-05-15T20:22:12Z,2026-05-15T20:22:12Z,2026-05-15T20:24:13Z,,121
P003,Fellow,Q015,Guideline-Direct,49,C,C,Yes,C,,C,2026-05-15T20:25:04Z,2026-05-15T20:25:04Z,2026-05-15T20:25:43Z,,39
P003,Fellow,Q013,Guideline-Direct,50,A,A,No,,E,C,2026-05-15T20:26:06Z,,,2026-05-15T20:26:18Z,
P004,Fellow,Q030,Evidence-Equipoise,1,D,B,No,,D,D,2026-05-15T22:00:28Z,,,2026-05-15T22:00:46Z,
P004,Fellow,Q018,Evidence-Equipoise,2,D,D,Yes,D,,D,2026-05-15T22:01:30Z,2026-05-15T22:01:30Z,2026-05-15T22:02:52Z,,82
P004,Fellow,Q023,Evidence-Equipoise,3,C,E,No,,C,C,2026-05-15T22:03:21Z,,,2026-05-15T22:03:33Z,
P004,Fellow,Q044,Extrapolation-Required,4,C,D,No,,C,D,2026-05-15T22:04:21Z,,,2026-05-15T22:04:40Z,
P004,Fellow,Q042,Extrapolation-Required,5,A,A,Yes,A,,A,2026-05-15T22:05:12Z,2026-05-15T22:05:12Z,2026-05-15T22:07:07Z,,115
P004,Fellow,Q004,Guideline-Direct,6,E,A,No,,E,B,2026-05-15T22:08:01Z,,,2026-05-15T22:08:21Z,
P004,Fellow,Q039,Extrapolation-Required,7,B,A,Yes,B,,B,2026-05-15T22:08:55Z,2026-05-15T22:08:55Z,2026-05-15T22:10:43Z,,108
P004,Fellow,Q047,Extrapolation-Required,8,D,D,Yes,D,,D,2026-05-15T22:11:17Z,2026-05-15T22:11:17Z,2026-05-15T22:12:33Z,,76
P004,Fellow,Q033,Evidence-Equipoise,9,E,B,Yes,A,,A,2026-05-15T22:13:10Z,2026-05-15T22:13:10Z,2026-05-15T22:13:55Z,,45
P004,Fellow,Q014,Guideline-Direct,10,B,A,Yes,B,,C,2026-05-15T22:14:30Z,2026-05-15T22:14:30Z,2026-05-15T22:16:10Z,,100
P004,Fellow,Q025,Evidence-Equipoise,11,C,D,Yes,C,,C,2026-05-15T22:16:36Z,2026-05-15T22:16:36Z,2026-05-15T22:18:01Z,,85
P004,Fellow,Q010,Guideline-Direct,12,C,C,Yes,E,,C,2026-05-15T22:18:32Z,2026-05-15T22:18:32Z,2026-05-15T22:20:00Z,,88
P004,Fellow,Q026,Evidence-Equipoise,13,A,B,Yes,A,,C,2026-05-15T22:20:28Z,2026-05-15T22:20:28Z,2026-05-15T22:22:19Z,,111
P004,Fellow,Q045,Extrapolation-Required,14,E,E,Yes,E,,E,2026-05-15T22:22:49Z,2026-05-15T22:22:49Z,2026-05-15T22:24:32Z,,103
P004,Fellow,Q016,Guideline-Direct,15,C,A,No,,C,A,2026-05-15T22:25:02Z,,,2026-05-15T22:25:15Z,
P004,Fellow,Q001,Guideline-Direct,16,B,E,No,,C,C,2026-05-15T22:26:03Z,,,2026-05-15T22:26:15Z,
P004,Fellow,Q020,Evidence-Equipoise,17,C,C,Yes,C,,C,2026-05-15T22:27:05Z,2026-05-15T22:27:05Z,2026-05-15T22:28:09Z,,64
P004,Fellow,Q007,Guideline-Direct,18,C,E,No,,C,E,2026-05-15T22:28:46Z,,,2026-05-15T22:29:07Z,
P004,Fellow,Q043,Extrapolation-Required,19,C,E,Yes,E,,E,2026-05-15T22:29:41Z,2026-05-15T22:29:41Z,2026-05-15T22:31:34Z,,113
P004,Fellow,Q038,Extrapolation-Required,20,D,E,Yes,E,,D,2026-05-15T22:32:01Z,2026-05-15T22:32:01Z,2026-05-15T22:35:58Z,,237
P004,Fellow,Q024,Evidence-Equipoise,21,D,A,Yes,D,,D,2026-05-15T22:36:20Z,2026-05-15T22:36:20Z,2026-05-15T22:39:56Z,,216
P004,Fellow,Q048,Extrapolation-Required,22,E,E,Yes,E,,E,2026-05-15T22:40:43Z,2026-05-15T22:40:43Z,2026-05-15T22:41:25Z,,42
P004,Fellow,Q015,Guideline-Direct,23,E,C,Yes,E,,C,2026-05-15T22:42:12Z,2026-05-15T22:42:12Z,2026-05-15T22:43:46Z,,94
P004,Fellow,Q041,Extrapolation-Required,24,A,E,Yes,E,,E,2026-05-15T22:44:36Z,2026-05-15T22:44:36Z,2026-05-15T22:45:42Z,,66
